step,performance,entropy,output length
0,,,
1,0.1875,0.25767295924015343,356.39453125
2,0.2109375,0.25339050008915365,349.5859375
3,0.1953125,0.25384777621366084,363.03125
4,0.1953125,0.25729266414418817,361.578125
5,0.1796875,0.24577908497303724,352.328125
6,0.25,0.24698944366537035,341.66015625
7,0.2890625,0.24014892941340804,337.91015625
8,0.296875,0.23834989010356367,339.3671875
9,0.25,0.22645529732108116,334.703125
10,0.3359375,0.22694607265293598,324.1484375
11,0.2890625,0.21954922867007554,332.453125
12,0.328125,0.2158415149897337,330.81640625
13,0.296875,0.20701375836506486,330.26953125
14,0.375,0.2051170403137803,320.59765625
15,0.3359375,0.18806504947133362,315.67578125
16,0.375,0.19045615196228027,310.96484375
17,0.3359375,0.17888923885766417,318.55078125
18,0.453125,0.16887015546672046,306.18359375
19,0.3984375,0.16498625092208385,312.7265625
20,0.3984375,0.16115586110390723,314.734375
21,0.4375,0.15532963804434985,317.5703125
22,0.3984375,0.1511589785804972,315.8828125
23,0.421875,0.14251123100984842,315.7734375
24,0.4453125,0.13904033519793302,318.9375
25,0.3984375,0.13919195986818522,315.16015625
26,0.421875,0.13412357855122536,301.109375
27,0.4609375,0.12400067143607885,316.30078125
28,0.4140625,0.12498206738382578,319.5234375
29,0.359375,0.11842786974739283,323.59375
30,0.4140625,0.10844587604515254,314.2578125
31,0.515625,0.10682355181779712,296.44140625
32,0.421875,0.10103274916764349,318.15625
33,0.421875,0.0968212447478436,315.7734375
34,0.4296875,0.09276049950858578,308.08203125
35,0.4609375,0.09096918685827404,306.76171875
36,0.46875,0.08777756476774812,301.328125
37,0.4609375,0.08739340800093487,305.71875
38,0.46875,0.08513999529532157,300.109375
39,0.40625,0.08357238362077624,310.859375
40,0.4609375,0.08432355729746632,302.22265625
41,0.4765625,0.0739344600297045,296.125
42,0.4765625,0.07628858950920403,304.02734375
43,0.5234375,0.07248974964022636,298.9765625
44,0.4375,0.07108948248787783,301.68359375
45,0.46875,0.06776252895360813,293.2890625
46,0.484375,0.06370375523692928,301.09375
47,0.4296875,0.062072445114608854,303.32421875
48,0.359375,0.06602325371932238,309.57421875
49,0.4609375,0.06500784336822107,301.484375
50,0.390625,0.06512204330647364,304.83984375
51,0.453125,0.0696510918205604,301.70703125
52,0.4453125,0.06417236843844876,302.88671875
53,0.3515625,0.07135086791822687,314.3125
54,0.4453125,0.059213519358308986,295.15625
55,0.421875,0.06514703982975334,297.20703125
56,0.3984375,0.06592622165044304,290.67578125
57,0.4453125,0.06820467617944814,290.46875
58,0.4140625,0.05811414623167366,293.15234375
59,0.4609375,0.05931227369001135,291.21484375
60,0.46875,0.06146445780177601,276.875
61,0.40625,0.05931287846760824,293.98046875
62,0.515625,0.05471740486973431,276.71875
63,0.4296875,0.05663052153249737,292.20703125
64,0.5,0.054754007593146525,283.25390625
65,0.40625,0.0581946066376986,288.0234375
66,0.4609375,0.05365926044760272,287.45703125
67,0.3984375,0.06096688241814263,285.12890625
68,0.3984375,0.06783582731441129,286.80078125
69,0.4375,0.0581187458592467,279.16015625
70,0.46875,0.05605814802402165,283.53125
71,0.4609375,0.06020658035413362,281.05078125
72,0.4140625,0.05459679233899806,288.88671875
73,0.421875,0.05540709299384616,293.77734375
74,0.40625,0.05887745590007398,291.78125
75,0.390625,0.058382692717714235,301.55859375
76,0.4765625,0.05508821285911836,283.1171875
77,0.4921875,0.05465217711753212,276.421875
78,0.4453125,0.059180955606279895,293.75390625
79,0.546875,0.05421281912276754,280.7109375
80,0.4453125,0.05722320615313947,286.1015625
81,0.4921875,0.05358426918974146,293.5390625
82,0.4765625,0.05424606736050919,289.3984375
83,0.5,0.06358081313373987,295.69921875
84,0.5,0.05722997916745953,288.2109375
85,0.4296875,0.05747497791890055,298.203125
86,0.4296875,0.05875985792954452,291.890625
87,0.4453125,0.05793599247408565,295.12109375
88,0.4921875,0.0572128424391849,289.75390625
89,0.4375,0.06240526685724035,302.96484375
90,0.421875,0.068265390698798,308.17578125
91,0.484375,0.06521339205210097,303.9375
92,0.40625,0.07392220821930096,299.53125
93,0.53125,0.07036754229920916,291.3984375
94,0.390625,0.07468050863826647,294.53515625
95,0.4609375,0.0806692722835578,301.57421875
96,0.5,0.06871492767822929,292.265625
97,0.3828125,0.07087410966050811,298.41015625
98,0.5234375,0.062265624103019945,300.76171875
99,0.4140625,0.06296628070413135,306.71875
100,0.46875,0.06702522303385194,310.33984375
101,0.5,0.059339814717532136,294.88671875
102,0.4453125,0.06283691628777888,297.25
103,0.4609375,0.07048963828128763,297.3515625
104,0.4296875,0.0735830139456084,313.421875
105,0.4921875,0.06179877383692656,304.19140625
106,0.4921875,0.07186188688501716,289.9140625
107,0.484375,0.07899150486628059,290.51171875
108,0.4921875,0.06796843944175635,309.64453125
109,0.4375,0.0797579340505763,314.98828125
110,0.4296875,0.08443903880834114,306.05078125
111,0.421875,0.07952599078998901,308.17578125
112,0.4375,0.08527433061681222,304.7734375
113,0.484375,0.09419319359585643,304.3515625
114,0.484375,0.09814185544382781,305.1484375
115,0.484375,0.10378682691953145,302.07421875
116,0.4453125,0.09325847166473977,303.890625
117,0.453125,0.10075714044796769,312.75
118,0.4375,0.0938037107407581,319.41015625
119,0.390625,0.1016341827053111,311.00390625
120,0.390625,0.10186055072699673,314.421875
121,0.359375,0.08896190547966398,318.390625
122,0.359375,0.0984653070991044,315.52734375
123,0.4140625,0.11257811103132553,316.49609375
124,0.359375,0.11127542420581449,313.02734375
125,0.3515625,0.12319278834911529,314.71484375
126,0.328125,0.12222551768354606,310.07421875
127,0.3359375,0.129138266609516,307.69921875
128,0.375,0.1300232462817803,308.68359375
129,0.28125,0.15277146601874847,315.26953125
130,0.40625,0.13251940815825947,317.49609375
131,0.421875,0.12353900386369787,300.1171875
132,0.4296875,0.136885758205608,317.2734375
133,0.3515625,0.14756379501341144,313.06640625
134,0.3671875,0.13995321851689368,304.07421875
135,0.3359375,0.14472312453290215,304.421875
136,0.4296875,0.11233127160812728,293.38671875
137,0.40625,0.12871367388652288,291.890625
138,0.421875,0.14244991286977893,283.546875
139,0.375,0.1262952217948623,294.8203125
140,0.3125,0.12955439594225027,299.79296875
141,0.390625,0.12782251067983452,285.30078125
142,0.3359375,0.14691545155073982,297.43359375
143,0.421875,0.12256437752148486,297.19140625
144,0.3671875,0.14288363014929928,291.9453125
145,0.4375,0.09921486305393046,287.7890625
146,0.4296875,0.13134260805236408,292.91796875
147,0.4609375,0.10278399307571817,299.7734375
148,0.40625,0.11479681442506262,300.67578125
149,0.359375,0.14493059934466146,310.390625
150,0.40625,0.13138512300065486,307.58203125
151,0.421875,0.14287269126361934,299.7265625
152,0.4375,0.16569271489424864,292.8984375
153,0.34375,0.14450609269260895,303.16015625
154,0.3515625,0.16863825056498172,297.85546875
155,0.328125,0.17928188032237813,294.61328125
156,0.3203125,0.16650722446502186,296.17578125
157,0.3515625,0.17906579711780068,292.75
158,0.34375,0.17084442324994598,297.21875
159,0.3359375,0.20004463860823307,302.44140625
160,0.4140625,0.18446634635620285,284.71484375
161,0.3046875,0.18978247380437097,304.2265625
162,0.3984375,0.1890582660707878,285.22265625
163,0.34375,0.1866325074370252,297.546875
164,0.3515625,0.18718702696742184,291.3359375
165,0.34375,0.19557896871265257,290.50390625
166,0.3359375,0.20661811492072957,275.578125
167,0.3046875,0.19298841451063709,280
168,0.25,0.23097806823534484,277.1015625
169,0.3125,0.1856713783745363,265.5078125
170,0.3125,0.16917649328206608,260.2890625
171,0.28125,0.17370321746784612,260.09375
172,0.375,0.15455814194865525,265.359375
173,0.265625,0.17597631242415446,273.79296875
174,0.2890625,0.17403099228977226,260.7734375
175,0.3046875,0.1944849300198257,281.78515625
176,0.2890625,0.1557212862489905,266.0625
177,0.328125,0.16373868976370431,264.36328125
178,0.2265625,0.14667011324127088,291.46484375
179,0.3671875,0.11196830357948784,274.01953125
180,0.328125,0.13408146358324302,275.76953125
181,0.3046875,0.13819453062751563,281.46875
182,0.3125,0.1516725027540815,274.7734375
183,0.3046875,0.18345856931409799,271.95703125
184,0.328125,0.1821560897078598,264.16015625
185,0.2890625,0.17872525084385416,267
186,0.2734375,0.1967680963625753,244.09765625
187,0.296875,0.16580425594656845,253.23828125
188,0.2109375,0.22092420605622465,252.02734375
189,0.28125,0.18663172275046236,265.7890625
190,0.21875,0.22597588978533167,257.7265625
191,0.3203125,0.16633288872617413,272.19921875
192,0.34375,0.16301850614399882,293.09765625
193,0.2890625,0.18198779720114544,284.71484375
194,0.28125,0.20659896194410976,252.6875
195,0.296875,0.2191285161388805,241.75
196,0.3046875,0.1805611952622712,247.02734375
197,0.2265625,0.215491099312203,263.4296875
198,0.3203125,0.22531167127453955,257.8359375
199,0.21875,0.2199933401934686,258.703125
